CACode,VaCode,Estimate,ASE,Flag
C02A,V22A,11.1,6.2,**
C02A,V23A,32,9,
C02A,V24A,36.3,5.2,
C02A,V24B,18,3.4,
C02A,V24C,5.6,1.9,*
C02A,V24D,4.5,2.1,*
C02A,V24E,29.7,5.2,
C02A,V24F,5.8,2.2,*
C02A,V25A,37.4,3.6,
C02A,V25B,33,3.4,
C02A,V25C,14.3,2.7,
C02A,V25D,6.3,2.1,*
C02A,V25E,9,2.8,*
C02A,V26A,52.1,7.5,
C02A,V27A,34.8,7.1,
C02A,V28A,27.3,6.5,
C02A,V29A,18.4,6.9,*
C02A,V29B,65.4,7.9,
C02A,V29C,2.8,2.1,**
C02A,V29D,6.9,3.8,**
C02A,V29E,6.5,3.5,**
C02A,V30A,12.9,2.4,
C02A,V30B,11.5,2.4,
C02A,V30C,18.7,3,
C02A,V30D,15,2.7,
C02A,V30E,41.9,3.9,
C02A,V31A,45.9,4.7,
C02A,V32A,23.4,4,
C02A,V33A,6,1.9,*
C02A,V34A,17.5,3.9,
C02A,V35A,14.8,3,
C02A,V36A,6.8,2.3,*
C02A,V37A,25.1,5.8,
C02A,V37B,17.3,5.6,*
C02A,V37C,13.3,4.6,*
C02A,V37D,9.3,3.7,*
C02A,V37E,32.5,6.9,
C02A,V37F,2.5,2.2,**
C02A,V38A,37.1,9,
C02A,V39A,21.7,8.1,*
C02A,V40A,15.7,7.9,*
C02A,V41A,12.6,6.4,**
C02A,V42A,20.2,6.6,*
C02A,V43A,7.9,4.3,**
C02A,V44A,27.4,3.6,
C02A,V44B,18,2.7,
C02A,V44C,9.9,2.5,
C02A,V44D,15,2.9,
C02A,V44E,29.8,3.6,
C02A,V45A,34.2,5,
C02A,V45B,21.2,4,
C02A,V45C,13.9,3.1,
C02A,V45D,11.9,3.2,
C02A,V45E,18.8,3.9,
C02A,V46A,26.9,8.7,*
C02A,V46B,27.4,8.5,*
C02A,V46C,6.5,5.3,**
C02A,V46D,16.4,7.6,*
C02A,V46E,22.7,8.6,*
C02A,V47A,20,5,
C02A,V47B,10.1,2.9,
C02A,V47C,13.1,4.1,*
C02A,V47D,14.7,4.7,*
C02A,V47E,12.8,4.3,*
C02A,V47F,8.8,3.4,*
C02A,V47G,5.6,3.5,**
C02A,V47H,4.5,1.8,*
C02A,V47I,10.4,3.6,*
C02B,V00T,33.5,0,B
C02B,V01A,37,2.2,
C02B,V01B,49.2,2.1,
C02B,V01C,8.7,1.3,
C02B,V01D,5.1,0.8,
C02B,V02A,3.7,1.1,
C02B,V02B,11.2,1.8,
C02B,V02C,81.2,2.6,
C02B,V02D,2.4,0.7,*
C02B,V02E,1.4,0.6,*
C02B,V03A,52.2,2.6,
C02B,V03B,40,2.4,
C02B,V03C,5.2,1.2,
C02B,V03D,2.6,0.9,*
C02B,V04A,11.6,1.5,
C02B,V04B,7.5,1.2,
C02B,V04C,21.6,2.2,
C02B,V04D,12.4,1.3,
C02B,V04E,17.8,1.8,
C02B,V04F,12.7,1.5,
C02B,V04G,5.3,1,
C02B,V04H,11,1.8,
C02B,V04M,6.2,0.1,
C02B,V05A,25.9,2,
C02B,V05B,30.3,2.3,
C02B,V05C,37.7,2.7,
C02B,V05D,6,1,
C02B,V06A,5.3,1,
C02B,V06B,36.5,2.5,
C02B,V06C,58.2,2.6,
C02B,V07A,43.6,2.4,
C02B,V07B,56.4,2.4,
C02B,V08A,17.9,2.5,
C02B,V08B,27,3.3,
C02B,V08C,55.2,3.6,
C02B,V09A,26,2.2,
C02B,V09B,52.4,2.5,
C02B,V09C,16.9,1.8,
C02B,V09D,4.7,0.8,
C02B,V10A,63.6,6,
C02B,V11A,22.3,5.9,
C02B,V12A,31.4,6.9,
C02B,V13A,15.5,5.3,*
C02B,V14A,55.3,6.5,
C02B,V15A,22.7,5.8,
C02B,V16A,16.3,4.2,
C02B,V17A,85.4,1.9,
C02B,V17B,10.9,1.8,
C02B,V17C,1.7,0.6,*
C02B,V17D,2,0.6,
C02B,V18A,72.3,2.4,
C02B,V18B,19.2,2.4,
C02B,V18C,4.8,0.8,
C02B,V18D,3.1,0.7,
C02B,V18E,0.6,0.4,**
C02B,V19A,2.5,0.6,
C02B,V19B,11.1,1.5,
C02B,V19C,11,1.7,
C02B,V19D,75.5,2.2,
C02B,V20A,42.8,5.5,
C02B,V21A,40.1,5.4,
C02B,V22A,13.4,3.2,
C02B,V23A,20,4.2,
